date,cash_30d,positions_value_30d,total_equity_30d,open_positions_30d,cash_60d,positions_value_60d,total_equity_60d,open_positions_60d,cash_90d,positions_value_90d,total_equity_90d,open_positions_90d,spy_equity,return_30d,return_60d,return_90d,spy_return
2025-04-11 00:00:00,0.0,396857.38556323876,396857.38556323876,206.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,36556.21055499537,,,,
2025-04-12 00:00:00,0.0,396857.38556323876,396857.38556323876,206.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,36556.21055499537,,,,
2025-04-13 00:00:00,8.570919439109912e-28,396857.38556323876,396857.38556323876,143.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,36556.21055499537,,,,
2025-04-14 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,36910.85883394685,,,,
2025-04-15 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,36807.47599190488,,,,
2025-04-16 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,35989.31822066178,,,,
2025-04-17 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,36040.666982303315,,,,
2025-04-18 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,36040.666982303315,,,,
2025-04-19 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,36040.666982303315,,,,
2025-04-20 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,36040.666982303315,,,,
2025-04-21 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,35182.80251077392,,,,
2025-04-22 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,36098.179434001926,,,,
2025-04-23 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,36657.53744076067,,,,
2025-04-24 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,37429.13950290153,,,,
2025-04-25 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,37699.57714996822,,,,
2025-04-26 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,37699.57714996822,,,,
2025-04-27 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,37699.57714996822,,,,
2025-04-28 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,37713.95212881318,,,,
2025-04-29 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,37951.52790563662,,,,
2025-04-30 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,37966.58820324047,,,,
2025-05-01 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,38235.65521278939,,,,
2025-05-02 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,0.0,1070937.9628580369,1070937.9628580369,66.0,0.0,82277.59260484227,82277.59260484227,85.0,38803.232865881866,,,,
2025-05-03 00:00:00,0.0,396857.38556323876,396857.38556323876,164.0,1031115.5621385527,0.0,1031115.5621385527,0.0,0.0,82277.59260484227,82277.59260484227,85.0,38803.232865881866,,,,
2025-05-04 00:00:00,421758.4753350792,1.0502345643335829e-10,421758.4753350793,134.0,1031115.5621385527,0.0,1031115.5621385527,0.0,0.0,82277.59260484227,82277.59260484227,85.0,38803.232865881866,,,,
2025-05-05 00:00:00,0.0,421758.4753350793,421758.4753350793,186.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,38580.7215654352,,,,
2025-05-06 00:00:00,0.0,421758.4753350793,421758.4753350793,186.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,38258.24983796808,,,,
2025-05-07 00:00:00,0.0,421758.4753350793,421758.4753350793,183.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,38419.145131708654,,,,
2025-05-08 00:00:00,0.0,421758.4753350793,421758.4753350793,183.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,38686.84150373979,,,,
2025-05-09 00:00:00,0.0,421758.4753350793,421758.4753350793,215.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,38637.548698374914,,,,
2025-05-10 00:00:00,4.607091661422448e-28,421758.4753350793,421758.4753350793,173.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,38637.548698374914,,,,
2025-05-11 00:00:00,4.607091661422448e-28,421758.4753350793,421758.4753350793,173.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,38637.548698374914,,,,
2025-05-12 00:00:00,0.0,421758.4753350793,421758.4753350793,256.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,39914.418730597434,,,,
2025-05-13 00:00:00,0.0,421758.4753350793,421758.4753350793,256.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40178.011547621085,,,,
2025-05-14 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40229.36030926263,,,,
2025-05-15 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40425.85456950908,,,,
2025-05-16 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40681.91305895789,,,,
2025-05-17 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40681.91305895789,,,,
2025-05-18 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40681.91305895789,,,,
2025-05-19 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40726.41281178347,,,,
2025-05-20 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40589.48278073937,,,,
2025-05-21 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,39905.51794427774,,,,
2025-05-22 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,39921.26773941339,,,,
2025-05-23 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,39648.77413607004,,,,
2025-05-24 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,39648.77413607004,,,,
2025-05-25 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,39648.77413607004,,,,
2025-05-26 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,39648.77413607004,,,,
2025-05-27 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40473.095597370215,,,,
2025-05-28 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40238.94223556829,,,,
2025-05-29 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40397.7815730322,,,,
2025-05-30 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40352.59650144773,,,,
2025-05-31 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40352.59650144773,,,,
2025-06-01 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40352.59650144773,,,,
2025-06-02 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40579.9008544337,,,,
2025-06-03 00:00:00,0.0,421758.4753350793,421758.4753350793,315.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40811.31294120007,,,,
2025-06-04 00:00:00,0.0,438280.57097311737,438280.57097311737,311.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40800.3561986037,,,,
2025-06-05 00:00:00,0.0,438280.57097311737,438280.57097311737,311.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40603.17661959836,,,,
2025-06-06 00:00:00,0.0,438280.57097311737,438280.57097311737,319.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,41020.13040278774,,,,
2025-06-07 00:00:00,0.0,438280.57097311737,438280.57097311737,319.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,41020.13040278774,,,,
2025-06-08 00:00:00,3.1388710466470926e-12,438280.57097311737,438280.57097311737,264.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,41020.13040278774,,,,
2025-06-09 00:00:00,0.0,438280.57097311737,438280.57097311737,324.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,41057.1000068114,,,,
2025-06-10 00:00:00,0.0,438280.57097311737,438280.57097311737,324.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,41289.882731095546,,,,
2025-06-11 00:00:00,0.0,438280.57097311737,438280.57097311737,277.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,41172.120731435694,,,,
2025-06-12 00:00:00,0.0,438280.57097311737,438280.57097311737,277.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,41335.7531214389,,,,
2025-06-13 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40873.61426666505,,,,
2025-06-14 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,82277.59260484227,82277.59260484227,85.0,40873.61426666505,,,,
2025-06-15 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,96955.26963611647,0.0,96955.26963611647,0.0,40873.61426666505,,,,
2025-06-16 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,41262.495053377555,,,,
2025-06-17 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,40909.90273070274,,,,
2025-06-18 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,40903.73904064567,,,,
2025-06-19 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,40903.73904064567,,,,
2025-06-20 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,40687.39143025607,,,,
2025-06-21 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,40687.39143025607,,,,
2025-06-22 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,40687.39143025607,,,,
2025-06-23 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,41089.280737068686,,,,
2025-06-24 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,41543.20412428172,,,,
2025-06-25 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,41566.47988944638,,,,
2025-06-26 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,41891.68871317613,,,,
2025-06-27 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,42099.82085600492,,,,
2025-06-28 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,42099.82085600492,,,,
2025-06-29 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,42099.82085600492,,,,
2025-06-30 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,42301.10816879067,,,,
2025-07-01 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,42287.41850870459,,,,
2025-07-02 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,42479.119716411755,,,,
2025-07-03 00:00:00,0.0,438280.57097311737,438280.57097311737,251.0,0.0,1031115.5621385527,1031115.5621385527,52.0,0.0,96955.26963611647,96955.26963611647,78.0,42813.91464522009,,,,
2025-07-04 00:00:00,490858.1415740005,1.2157583939218165e-10,490858.1415740006,203.0,1101955.3487159568,0.0,1101955.3487159568,0.0,0.0,96955.26963611647,96955.26963611647,78.0,42813.91464522009,,,,
2025-07-05 00:00:00,490858.1415740005,1.2157583939218165e-10,490858.1415740006,203.0,1101955.3487159568,0.0,1101955.3487159568,0.0,0.0,96955.26963611647,96955.26963611647,78.0,42813.91464522009,,,,
2025-07-06 00:00:00,490858.1415740005,3.138871046647094e-12,490858.1415740005,150.0,1101955.3487159568,0.0,1101955.3487159568,0.0,0.0,96955.26963611647,96955.26963611647,78.0,42813.91464522009,,,,
2025-07-07 00:00:00,0.0,490858.1415740005,490858.1415740005,177.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,42494.86533277449,,,,
2025-07-08 00:00:00,0.0,490858.1415740005,490858.1415740005,177.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,42471.58956760983,,,,
2025-07-09 00:00:00,0.0,490858.1415740005,490858.1415740005,131.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,42726.277419540864,,,,
2025-07-10 00:00:00,0.0,490858.1415740005,490858.1415740005,131.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,42846.77651546334,,,,
